wall_time,cam_index,latency_ms
12:37:27.849,0,16.8438
12:37:38.899,2,15.8966
12:38:00.903,1,19.8299
12:38:00.910,2,4.2816
12:38:00.913,0,4.9925
12:38:00.917,1,6.4032
12:38:00.922,2,9.6555
12:38:00.923,0,6.5145
12:38:00.930,0,3.5597
12:38:00.956,1,8.4725
12:38:00.963,0,5.0089
12:38:00.967,1,7.7530
12:38:00.970,2,7.4773
12:38:00.971,0,5.0986
12:38:00.975,1,5.2371
12:38:00.978,2,5.4844
12:38:01.013,2,4.3181
12:38:01.015,1,5.6423
12:38:01.016,0,5.7031
12:38:01.024,2,6.5566
12:38:01.025,0,5.1979
12:38:01.025,1,7.3267
12:38:01.032,2,5.6600
12:38:01.033,0,3.9672
12:38:01.033,1,5.4779
12:38:01.077,2,3.6724
12:38:01.080,1,4.7944
12:38:01.080,0,4.1263
12:38:01.095,2,3.7821
12:38:01.099,1,3.7732
12:38:01.104,0,4.6722
12:38:01.145,1,4.6598
12:38:01.145,2,4.7297
12:38:01.146,0,4.3907
12:38:01.166,2,4.1728
12:38:01.176,1,4.3850
12:38:01.183,0,4.2408
12:38:01.213,2,4.1686
12:38:01.218,1,3.9161
12:38:01.223,0,3.3846
12:38:01.275,2,3.5827
12:38:01.278,0,4.6570
12:38:01.278,1,5.0747
12:38:01.295,1,4.0017
12:38:01.295,2,4.1022
12:38:01.305,0,4.4788
12:38:01.345,2,3.7324
12:38:01.347,0,4.4176
12:38:01.347,1,4.5859
12:38:01.373,2,3.6196
12:38:01.378,1,3.6411
12:38:01.381,0,5.0371
12:38:01.413,2,3.9036
12:38:01.420,1,4.1168
12:38:01.423,0,4.2566
12:38:01.485,1,3.7222
12:38:01.485,0,3.9860
12:38:01.486,2,4.3169
12:38:01.492,2,4.5507
12:38:01.492,1,5.9619
12:38:01.505,0,4.2887
12:38:01.547,2,4.1158
12:38:01.556,1,4.2679
12:38:01.557,0,4.1263
12:38:01.572,2,3.7437
12:38:01.577,1,3.6008
12:38:01.580,0,6.2978
12:38:01.620,2,3.3349
12:38:01.621,1,3.9006
12:38:01.626,0,5.1380
12:38:01.648,2,3.5623
12:38:01.681,1,3.2974
12:38:01.683,0,5.4141
12:38:01.689,2,4.8839
12:38:01.695,1,5.2016
12:38:01.710,0,3.0437
12:38:01.783,2,4.4001
12:38:01.783,1,4.5072
12:38:01.807,2,3.7129
12:38:01.810,1,3.8160
12:38:01.816,2,4.0033
12:38:01.822,1,4.2404
12:38:01.823,0,12.6202
12:38:01.829,0,2.6980
12:38:01.846,0,4.1864
12:38:01.851,1,4.7741
12:38:01.858,2,3.1945
12:38:01.861,0,5.6909
12:38:01.914,2,3.4187
12:38:01.915,1,3.6068
12:38:01.918,0,5.9739
12:38:01.932,2,3.4103
12:38:01.938,1,3.7181
12:38:01.942,0,3.5978
12:38:01.984,2,3.5870
12:38:01.984,1,3.3479
12:38:01.990,0,5.5142
12:38:02.010,1,4.1209
12:38:02.012,2,3.5649
12:38:02.017,0,4.3872
12:38:02.056,2,3.7839
12:38:02.062,1,6.0745
12:38:02.065,0,5.6208
12:38:02.129,2,3.5512
12:38:02.132,1,5.1356
12:38:02.132,0,5.2213
12:38:02.136,2,5.2128
12:38:02.143,1,5.3067
12:38:02.146,0,4.2743
12:38:02.189,2,3.2304
12:38:02.191,1,4.9136
12:38:02.195,0,4.7113
12:38:02.216,2,3.7188
12:38:02.222,0,3.6563
12:38:02.228,1,5.7364
12:38:02.253,2,3.4203
12:38:02.262,1,3.8788
12:38:02.265,0,6.0105
12:38:02.321,2,3.6964
12:38:02.330,1,4.4000
12:38:02.337,2,3.8524
12:38:02.337,1,3.9893
12:38:02.337,0,4.1348
12:38:02.348,0,4.4768
12:38:02.391,2,4.1792
12:38:02.391,0,3.9082
12:38:02.391,1,4.0497
12:38:02.413,2,3.6126
12:38:02.418,0,5.2332
12:38:02.421,1,4.7205
12:38:02.457,2,3.2543
12:38:02.467,0,3.6674
12:38:02.468,1,4.8255
12:38:02.492,2,3.3219
12:38:02.494,1,5.8076
12:38:02.520,0,3.5848
12:38:02.531,2,3.2327
12:38:02.537,1,4.9303
12:38:02.543,0,3.1010
12:38:02.607,2,3.4867
12:38:02.609,1,5.0463
12:38:02.610,0,4.4822
12:38:02.613,2,4.9938
12:38:02.619,0,5.0897
12:38:02.622,1,5.1475
12:38:02.674,2,3.5851
12:38:02.677,1,3.7913
12:38:02.679,0,5.3034
12:38:02.693,2,3.4524
12:38:02.699,1,4.2079
12:38:02.704,0,5.0584
12:38:02.739,2,3.4783
12:38:02.977,1,13.2347
12:38:02.983,1,4.2021
12:38:02.992,0,14.9049
12:38:02.997,0,3.2889
12:38:03.001,2,16.2176
12:38:03.003,0,4.5515
