abs_time,cam_index,rtp_seq
1777988864.193332,1,9007
1777988864.193586,1,9008
1777988864.193614,1,9009
1777988864.193631,1,9010
1777988864.193648,1,9011
1777988864.193664,1,9012
1777988864.193681,1,9013
1777988864.193707,1,9014
1777988864.193724,1,9015
1777988864.193741,1,9016
1777988864.193757,1,9017
1777988864.193772,1,9018
1777988864.193788,1,9019
1777988864.193803,1,9020
1777988864.193819,1,9021
1777988864.193835,1,9022
1777988864.196188,1,9023
1777988864.196221,1,9024
1777988864.196237,1,9025
1777988864.196254,1,9026
1777988864.196269,1,9027
1777988864.196282,1,9028
1777988864.196295,1,9029
1777988864.196309,1,9030
1777988864.196321,1,9031
1777988864.196336,1,9032
1777988864.196350,1,9033
1777988864.196374,1,9034
1777988864.196388,1,9035
1777988864.196402,1,9036
1777988864.196415,1,9037
1777988864.196428,1,9038
1777988864.196442,1,9039
1777988864.196455,1,9040
1777988864.196469,1,9041
1777988864.196481,1,9042
1777988864.196497,1,9043
1777988864.196510,1,9044
1777988864.196523,1,9045
1777988864.198928,1,9046
1777988864.198963,1,9047
1777988864.198985,1,9048
1777988864.199012,1,9049
1777988864.199029,1,9050
1777988864.199043,1,9051
1777988864.199058,1,9052
1777988864.199073,1,9053
1777988864.199093,1,9054
1777988864.199108,1,9055
1777988864.199123,1,9056
1777988864.199138,1,9057
1777988864.199154,1,9058
1777988864.199168,1,9059
1777988864.199181,1,9060
1777988864.199195,1,9061
1777988864.199207,1,9062
1777988864.199329,1,9063
1777988864.199366,1,9064
1777988864.199385,1,9065
1777988864.199398,1,9066
1777988864.199410,1,9067
1777988864.199424,1,9068
1777988864.201843,1,9069
1777988864.201877,1,9070
1777988864.201892,1,9071
1777988864.201909,1,9072
1777988864.201922,1,9073
1777988864.201936,1,9074
1777988864.201952,1,9075
1777988864.201975,1,9076
1777988864.202002,1,9077
1777988864.202016,1,9078
1777988864.202031,1,9079
1777988864.202045,1,9080
1777988864.202060,1,9081
1777988864.202073,1,9082
1777988864.202089,1,9083
1777988864.202102,1,9084
1777988864.202117,1,9085
1777988864.202132,1,9086
1777988864.202146,1,9087
1777988864.202161,1,9088
1777988864.202175,1,9089
1777988864.202191,1,9090
1777988864.202205,1,9091
1777988864.204985,1,9092
1777988864.205040,1,9093
1777988864.205082,1,9094
1777988864.205103,1,9095
1777988864.205124,1,9096
1777988864.205136,1,9097
1777988864.205148,1,9098
1777988864.205162,1,9099
1777988864.205250,2,14968
1777988864.205326,2,14969
1777988864.205385,2,14970
1777988864.205445,2,14971
1777988864.205492,2,14972
1777988864.205538,2,14973
1777988864.205583,2,14974
1777988864.205629,2,14975
1777988864.205674,2,14976
1777988864.205723,2,14977
1777988864.205767,2,14978
1777988864.205813,2,14979
1777988864.205858,2,14980
1777988864.205904,2,14981
1777988864.205950,2,14982
