abs_time,cam_index,rtp_seq
1777727045.739087,0,8273
1777727045.739850,0,8274
1777727045.740018,0,8275
1777727045.740137,0,8276
1777727045.740238,0,8277
1777727045.740345,0,8278
1777727045.740433,0,8279
1777727045.740505,0,8280
1777727045.740576,0,8281
1777727045.740654,0,8282
1777727045.740721,0,8283
1777727045.740794,0,8284
1777727045.740870,0,8285
1777727045.740972,0,8286
1777727045.741042,0,8287
1777727045.741113,0,8288
1777727045.741185,0,8289
1777727045.741256,0,8290
1777727045.741343,0,8291
1777727045.741449,0,8292
1777727045.741547,0,8293
1777727045.741619,0,8294
1777727045.741688,0,8295
1777727045.741749,0,8296
1777727045.741813,0,8297
1777727045.742153,0,8298
1777727045.742225,0,8299
1777727045.742316,0,8300
1777727045.742376,0,8301
1777727045.742452,0,8302
1777727045.742511,0,8303
1777727045.742570,0,8304
1777727045.742625,0,8305
1777727045.742699,0,8306
1777727045.742752,0,8307
1777727045.742814,0,8308
1777727045.742868,0,8309
1777727045.742926,0,8310
1777727045.742981,0,8311
1777727045.743035,0,8312
1777727045.743093,0,8313
1777727045.743153,0,8314
1777727045.743215,0,8315
1777727045.743271,0,8316
1777727045.743352,0,8317
1777727045.743407,0,8318
1777727045.743483,0,8319
1777727045.743533,0,8320
1777727045.745651,0,8321
1777727045.745843,0,8322
1777727045.745909,0,8323
1777727045.745960,0,8324
1777727045.746019,0,8325
1777727045.746068,0,8326
1777727045.746111,0,8327
1777727045.746161,0,8328
1777727045.746203,0,8329
1777727045.746249,0,8330
1777727045.746315,0,8331
1777727045.746359,0,8332
1777727045.746405,0,8333
1777727045.746448,0,8334
1777727045.746492,0,8335
1777727045.746533,0,8336
1777727045.746585,0,8337
1777727045.746625,0,8338
1777727045.746672,0,8339
1777727045.746715,0,8340
1777727045.746758,0,8341
1777727045.746804,0,8342
1777727045.746847,0,8343
1777727045.756514,0,8344
1777727045.756814,0,8345
1777727045.756966,0,8346
1777727045.757044,0,8347
1777727045.757123,0,8348
1777727045.757197,0,8349
1777727045.757266,0,8350
1777727045.757369,0,8351
1777727045.790681,0,8352
1777727045.791071,0,8353
1777727045.791194,0,8354
1777727045.791348,0,8355
1777727045.791862,0,8356
1777727045.792271,0,8357
1777727045.792533,0,8358
1777727045.792737,0,8359
1777727045.792912,0,8360
1777727045.793084,0,8361
1777727045.793461,0,8362
1777727045.793637,0,8363
1777727045.793813,0,8364
1777727045.793969,0,8365
