wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
15:04:59.091,0,308,2.013,0
15:04:59.106,1,4691,1.517,0
15:04:59.109,2,25736,1.813,0
15:04:59.114,0,396,13.496,0
15:04:59.135,1,4703,0.301,0
15:04:59.136,2,25748,0.359,0
15:04:59.166,1,4711,0.430,0
15:04:59.171,0,414,15.745,1
15:04:59.178,2,25757,0.308,0
15:04:59.198,0,421,0.466,0
15:04:59.206,1,4720,0.388,0
15:04:59.209,2,25767,0.291,0
15:04:59.230,0,428,0.386,0
15:04:59.247,1,4730,0.478,0
15:04:59.250,2,25777,0.373,0
15:04:59.271,0,435,0.310,0
15:04:59.288,1,4741,0.377,0
15:04:59.291,2,25787,0.553,0
15:04:59.316,0,442,0.489,0
15:04:59.320,1,4752,0.308,0
15:04:59.332,2,25797,0.467,0
15:04:59.357,0,450,0.561,0
15:04:59.364,2,25808,0.373,0
15:04:59.365,1,4764,0.499,0
15:04:59.398,0,457,0.488,0
15:04:59.406,1,4774,0.289,0
15:04:59.409,2,25818,0.397,0
15:04:59.429,0,462,0.303,0
15:04:59.448,1,4783,0.145,0
15:04:59.450,2,25828,0.333,0
15:04:59.471,0,469,0.558,0
15:04:59.480,1,4793,0.241,0
15:04:59.492,2,25838,0.295,0
15:04:59.516,0,475,0.328,0
15:04:59.524,1,4801,0.342,0
15:04:59.524,2,25849,0.223,0
15:04:59.556,0,481,0.262,0
15:04:59.566,1,4811,0.300,0
15:04:59.568,2,25858,0.229,0
15:04:59.597,0,487,0.265,0
15:04:59.608,1,4822,0.411,0
15:04:59.609,2,25867,0.154,0
15:04:59.629,0,494,0.194,0
15:04:59.640,1,4833,0.309,0
15:04:59.650,2,25876,0.159,0
15:04:59.671,0,500,0.321,0
15:04:59.684,1,4843,0.332,0
15:04:59.692,2,25886,0.302,0
15:04:59.715,0,506,0.280,0
15:04:59.724,2,25895,0.321,0
15:04:59.726,1,4853,0.334,0
15:04:59.756,0,513,0.356,0
15:04:59.768,1,4863,0.338,0
15:04:59.770,2,25905,0.334,0
15:04:59.798,0,520,0.341,0
15:04:59.799,1,4872,0.296,0
15:04:59.811,2,25914,0.316,0
15:04:59.829,0,527,0.234,0
15:04:59.844,1,4881,0.355,0
15:04:59.852,2,25924,0.298,0
15:04:59.871,0,534,0.364,0
15:04:59.885,2,25934,0.486,0
15:04:59.886,1,4891,0.357,0
15:04:59.916,0,540,0.644,0
15:04:59.928,1,4900,0.409,0
15:04:59.929,2,25944,0.365,0
15:04:59.956,0,546,0.192,0
15:04:59.960,1,4909,0.460,0
15:04:59.970,2,25954,0.203,0
15:04:59.998,0,552,0.233,0
15:05:00.005,1,4920,0.412,0
15:05:00.011,2,25963,0.187,0
15:05:00.029,0,559,0.122,0
15:05:00.046,1,4930,0.351,0
15:05:00.052,2,25973,0.325,0
15:05:00.084,2,25983,0.263,0
15:05:00.088,1,4940,0.306,0
15:05:00.104,0,669,1.471,0
15:05:00.120,1,4949,0.314,0
15:05:00.125,0,675,0.439,0
15:05:00.129,2,25993,0.320,0
15:05:00.165,1,4960,0.596,0
15:05:00.167,0,686,0.648,0
15:05:00.170,2,26004,0.351,0
15:05:00.198,0,699,0.561,0
15:05:00.206,1,4969,0.202,0
15:05:00.211,2,26014,0.369,0
15:05:00.239,0,710,0.512,0
15:05:00.248,1,4979,0.221,0
15:05:00.252,2,26024,0.533,0
15:05:00.279,0,719,0.167,0
15:05:00.280,1,4988,0.230,0
15:05:00.284,2,26033,0.552,0
15:05:00.319,0,726,0.417,0
15:05:00.324,1,4997,0.259,0
15:05:00.329,2,26041,0.639,0
15:05:00.350,0,734,0.358,0
15:05:00.366,1,5006,0.144,0
15:05:00.370,2,26050,0.674,0
15:05:00.392,0,742,0.379,0
15:05:00.409,1,5018,0.176,0
15:05:00.411,2,26060,0.638,0
15:05:00.436,0,750,0.325,0
15:05:00.440,1,5028,0.251,0
15:05:00.453,2,26070,0.537,0
15:05:00.477,0,758,0.385,0
15:05:00.484,2,26080,0.216,0
15:05:00.484,1,5038,0.212,0
15:05:00.518,0,766,0.365,0
15:05:00.526,1,5047,0.217,0
15:05:00.529,2,26089,0.237,0
15:05:00.549,0,773,0.094,0
15:05:00.568,1,5057,0.202,0
15:05:00.570,2,26100,0.267,0
15:05:00.592,0,781,0.215,0
15:05:00.600,1,5066,0.206,0
15:05:00.611,2,26110,0.267,0
15:05:00.636,0,791,0.166,0
15:05:00.644,1,5077,0.251,0
15:05:00.652,2,26120,0.247,0
15:05:00.677,0,799,0.170,0
15:05:00.685,2,26129,0.262,0
15:05:00.686,1,5086,0.198,0
15:05:00.718,0,808,0.252,0
15:05:00.728,1,5096,0.221,0
15:05:00.729,2,26139,0.244,0
15:05:00.750,0,816,0.125,0
15:05:00.760,1,5106,0.218,0
15:05:00.771,2,26151,0.259,0
15:05:00.794,0,824,0.105,0
15:05:00.801,1,5115,0.293,0
15:05:00.811,2,26159,0.238,0
15:05:00.836,0,832,0.203,0
15:05:00.846,1,5125,0.226,0
15:05:00.852,2,26168,0.249,0
15:05:00.877,0,841,0.206,0
15:05:00.885,2,26177,0.289,0
15:05:00.887,1,5135,0.255,0
15:05:00.918,0,850,0.221,0
15:05:00.928,1,5144,0.249,0
15:05:00.929,2,26187,0.279,0
15:05:00.950,0,858,0.090,0
15:05:00.960,1,5153,0.191,0
15:05:00.970,2,26197,0.233,0
15:05:00.992,0,867,0.096,0
15:05:01.004,1,5164,0.212,0
15:05:01.011,2,26207,0.240,0
15:05:01.036,0,875,0.196,0
15:05:01.046,1,5174,0.202,0
15:05:01.052,2,26216,0.218,0
15:05:01.121,0,1012,1.229,0
15:05:01.128,1,5316,1.666,0
15:05:01.135,0,1022,12.823,0
15:05:01.136,2,26359,1.160,0
15:05:01.159,1,5328,29.967,0
15:05:01.159,0,1034,0.159,0
15:05:01.170,1,5339,0.419,0
15:05:01.190,0,1044,0.104,0
15:05:01.210,1,5349,0.425,0
15:05:01.217,2,26393,5.640,2
15:05:01.235,0,1054,0.106,0
15:05:01.241,1,5360,0.355,0
15:05:01.277,0,1063,0.117,0
15:05:01.285,1,5373,0.782,0
15:05:01.293,2,26404,41.647,0
15:05:01.294,2,26416,0.516,0
15:05:01.319,0,1072,0.110,0
15:05:01.325,2,26426,0.566,0
15:05:01.326,1,5383,0.255,0
15:05:01.350,0,1081,0.109,0
15:05:01.369,1,5394,0.778,0
15:05:01.370,2,26438,0.429,0
15:05:01.395,0,1090,0.202,0
15:05:01.401,1,5406,0.229,0
15:05:01.411,2,26450,0.501,0
15:05:01.437,0,1099,0.242,0
15:05:01.446,1,5416,0.251,0
15:05:01.454,2,26461,0.269,0
15:05:01.477,0,1109,0.202,0
15:05:01.485,2,26471,0.262,0
15:05:01.487,1,5429,0.241,0
15:05:01.519,0,1119,0.131,0
15:05:01.529,1,5438,0.218,0
15:05:01.530,2,26482,0.295,0
15:05:01.551,0,1128,0.115,0
15:05:01.561,1,5451,0.232,0
15:05:01.571,2,26494,0.295,0
15:05:01.592,0,1136,0.273,0
15:05:01.606,1,5461,0.251,0
