wall_time,cam,rtp_seq,rtsp_unwrap_ms,depay_ms,pay_ms,udpsink_ms,total_sender_ms
16:36:40.474,0,74,0.012,0.072,0.123,0.143,0.515
16:36:40.476,1,18542,0.055,0.065,0.033,0.034,0.247
16:36:40.480,2,7776,0.015,0.088,0.059,0.183,0.431
16:36:41.486,0,318,0.007,18.309,0.045,0.069,18.591
16:36:42.462,1,19199,0.008,0.046,0.031,0.057,0.176
16:36:42.483,2,8413,0.008,0.111,0.115,0.161,0.623
16:36:42.484,0,640,0.008,0.161,0.120,0.050,0.493
16:36:43.474,0,986,0.008,0.076,0.040,0.032,0.219
16:36:44.466,1,19897,0.024,0.089,0.033,0.196,0.411
16:36:44.485,0,1321,0.008,0.100,0.033,0.045,0.269
16:36:44.487,2,9109,0.007,0.100,0.032,0.065,0.254
16:36:45.482,0,1690,0.007,0.068,0.048,0.059,0.319
16:36:46.468,1,20594,0.013,0.043,0.045,0.083,0.859
16:36:46.482,0,2049,0.008,0.051,0.046,0.045,0.216
16:36:46.485,2,9838,0.008,0.068,0.023,0.025,0.145
16:36:47.502,0,2423,0.007,0.148,0.064,0.042,0.334
16:36:48.472,1,21309,0.011,0.075,0.093,0.026,0.248
16:36:48.489,2,10576,0.008,0.068,0.044,0.029,0.206
16:36:48.494,0,2813,0.007,0.098,0.033,0.034,0.238
16:36:49.485,0,3191,0.007,0.065,0.071,0.034,0.317
16:36:50.472,1,22032,0.010,0.056,0.070,0.080,0.414
16:36:50.479,0,3540,0.007,0.035,0.019,0.080,0.164
16:36:50.480,2,11326,0.007,0.038,0.028,0.058,0.190
16:36:51.493,0,3897,0.007,0.074,0.024,0.137,0.279
16:36:52.481,1,22779,0.017,15.786,0.146,0.039,16.008
16:36:52.487,2,12036,0.008,0.069,0.021,0.035,0.155
16:36:52.494,0,4275,0.007,0.138,0.034,0.048,0.282
16:36:53.508,0,4668,0.008,0.173,0.092,0.050,0.357
16:36:54.486,1,23559,0.020,0.251,0.111,0.166,0.597
16:36:54.510,0,5062,0.008,0.219,0.064,0.299,0.649
16:36:54.512,2,12776,0.009,28.771,0.029,0.288,29.149
16:36:55.509,0,5452,0.009,0.177,0.381,0.062,0.833
16:36:56.485,1,24342,0.007,0.104,0.042,0.048,0.227
16:36:56.512,0,5841,0.008,0.145,0.052,0.148,0.405
16:36:57.508,0,6218,0.007,0.216,0.119,0.202,0.600
16:36:58.483,1,25109,0.009,0.050,0.014,0.060,0.155
16:36:58.503,2,14283,0.018,0.135,0.040,0.193,0.450
16:36:58.510,0,6592,0.018,0.194,0.029,0.034,0.380
16:36:59.487,0,6970,0.007,0.055,0.026,0.148,0.262
16:37:00.470,1,25853,0.008,0.043,0.039,0.249,0.511
16:37:00.485,0,7296,0.007,0.055,0.024,0.093,0.200
16:37:00.498,2,15040,0.008,0.080,0.033,0.066,0.249
16:37:01.495,0,7657,0.007,0.043,0.036,0.037,0.259
16:37:02.473,1,26557,0.008,0.030,0.044,0.032,0.149
16:37:02.496,0,8030,0.007,0.068,0.072,0.026,0.334
16:37:02.503,2,15766,0.007,0.055,0.034,0.057,0.198
16:37:03.509,0,8415,0.028,0.161,0.114,0.056,0.530
16:37:04.477,1,27277,0.007,0.057,0.050,0.054,0.209
16:37:04.509,0,8795,0.008,0.165,0.205,0.110,0.728
16:37:04.513,2,16504,0.010,0.077,0.046,0.021,0.195
16:37:05.507,0,9177,0.008,0.165,0.025,0.024,0.265
16:37:06.494,1,28033,0.007,0.047,0.023,0.069,0.163
16:37:06.503,0,9555,0.030,0.147,0.032,0.050,0.309
16:37:06.516,2,17258,0.017,0.190,0.055,0.033,0.336
16:37:07.514,0,9936,0.009,0.133,0.034,0.067,0.286
16:37:08.494,1,28792,0.008,0.046,0.053,0.176,0.345
16:37:08.505,0,10313,0.008,0.171,0.033,0.158,0.410
16:37:08.516,2,18004,0.007,0.121,0.024,0.023,0.196
16:37:09.497,0,10689,0.007,0.105,0.031,0.224,0.403
16:37:10.466,1,29535,0.007,0.029,0.045,0.025,0.139
16:37:10.486,2,18758,0.010,0.058,0.041,0.217,0.398
16:37:10.487,0,11047,0.007,0.062,0.035,0.053,0.201
16:37:11.498,0,11396,0.014,0.077,0.036,0.082,0.237
16:37:12.505,1,30256,0.037,0.055,0.078,0.236,0.425
16:37:12.511,0,11764,0.008,0.083,0.034,0.052,0.217
16:37:13.523,0,12152,0.007,0.196,0.053,0.149,0.449
16:37:14.505,1,31038,0.007,0.054,0.093,0.239,0.465
16:37:14.519,0,12553,0.007,0.206,0.024,0.079,0.354
16:37:14.522,2,20199,0.007,0.134,0.068,0.071,0.355
16:37:15.523,0,12935,0.008,0.173,0.068,0.032,0.326
16:37:16.509,1,31805,0.008,0.112,0.258,0.087,0.542
16:37:16.515,2,20953,0.008,0.157,0.086,0.051,0.417
16:37:16.521,0,13324,0.015,0.162,0.038,0.081,0.340
16:37:17.526,0,13698,0.008,0.059,0.058,0.020,0.205
16:37:18.512,1,32573,0.008,0.190,0.044,0.115,0.413
16:37:18.519,2,21707,0.007,0.163,0.089,0.119,0.539
16:37:18.525,0,14070,0.008,0.065,0.075,0.044,0.239
16:37:19.493,0,14449,0.008,0.033,0.046,0.044,0.181
16:37:20.473,1,33326,0.009,0.036,0.025,0.046,0.139
16:37:20.489,0,14775,0.008,0.037,0.027,0.167,0.267
16:37:20.495,2,22469,0.007,0.060,0.036,0.052,0.288
16:37:21.496,0,15122,0.007,0.061,0.035,0.025,0.173
