wall_time,cam,rtp_seq,pipeline_ms
12:51:56.824,2,17059,1.536
12:51:56.829,0,20256,2.591
12:51:56.837,1,13183,2.741
12:51:56.847,2,17071,0.814
12:51:56.853,0,20263,0.534
12:51:56.886,1,13194,36.328
12:51:56.888,2,17084,0.457
12:51:56.892,1,13208,0.778
12:51:56.894,0,20276,0.552
12:51:56.921,2,17097,0.490
12:51:56.923,1,13221,0.466
12:51:56.935,0,20288,0.613
12:51:56.962,2,17111,0.556
12:51:56.966,0,20298,0.599
12:51:56.968,1,13235,0.756
12:51:57.003,2,17124,0.507
12:51:57.010,1,13248,0.591
12:51:57.011,0,20309,0.450
12:51:57.045,2,17136,0.824
12:51:57.053,0,20319,0.942
12:51:57.053,1,13262,0.569
12:51:57.077,2,17149,0.536
12:51:57.083,1,13274,0.462
12:51:57.094,0,20329,0.376
12:51:57.123,2,17163,0.790
12:51:57.126,0,20340,0.263
12:51:57.128,1,13288,0.508
12:51:57.163,2,17174,0.379
12:51:57.170,1,13300,0.327
12:51:57.171,0,20349,0.450
12:51:57.204,2,17185,0.344
12:51:57.212,0,20357,0.548
12:51:57.212,1,13313,0.164
12:51:57.237,2,17197,0.622
12:51:57.244,1,13327,0.268
12:51:57.254,0,20367,0.459
12:51:57.282,2,17211,0.270
12:51:57.286,0,20377,0.418
12:51:57.289,1,13339,0.412
12:51:57.323,2,17225,0.282
12:51:57.330,1,13351,0.514
12:51:57.331,0,20385,0.805
12:51:57.364,2,17236,0.189
12:51:57.372,0,20393,0.608
12:51:57.373,1,13364,0.626
12:51:57.396,2,17247,0.353
12:51:57.403,1,13376,0.527
12:51:57.415,0,20405,0.663
12:51:57.441,2,17259,0.358
12:51:57.446,0,20415,0.424
12:51:57.448,1,13388,0.442
12:51:57.483,2,17273,0.263
12:51:57.490,1,13398,0.393
12:51:57.491,0,20425,0.654
12:51:57.525,2,17286,0.243
12:51:57.532,1,13409,0.377
12:51:57.532,0,20433,0.771
12:51:57.557,2,17299,0.320
12:51:57.563,1,13420,0.517
12:51:57.574,0,20443,0.266
12:51:57.601,2,17311,0.172
12:51:57.606,0,20453,0.301
12:51:57.608,1,13431,0.659
12:51:57.642,2,17322,0.182
12:51:57.650,1,13442,0.265
12:51:57.651,0,20463,0.293
12:51:57.685,2,17335,0.350
12:51:57.691,1,13453,0.535
12:51:57.692,0,20473,0.293
12:51:57.717,2,17348,0.187
12:51:57.732,1,13463,0.348
12:51:57.734,0,20483,0.235
12:51:57.762,2,17360,0.398
12:51:57.763,1,13475,0.284
12:51:57.766,0,20493,0.147
12:51:57.803,2,17373,0.550
12:51:57.808,1,13486,0.273
12:51:57.838,0,20588,2.161
12:51:57.845,2,17386,0.620
12:51:57.850,1,13497,0.146
12:51:57.860,0,20595,0.398
12:51:57.877,2,17398,0.483
12:51:57.892,1,13509,0.159
12:51:57.902,0,20606,0.493
12:51:57.921,2,17410,0.505
12:51:57.923,1,13519,0.536
12:51:57.932,0,20618,0.358
12:51:57.963,2,17421,0.758
12:51:57.968,1,13531,0.518
12:51:57.973,0,20628,0.572
12:51:58.005,2,17433,0.289
12:51:58.010,1,13543,0.248
12:51:58.014,0,20639,0.535
12:51:58.037,2,17447,0.238
12:51:58.051,1,13553,0.503
12:51:58.054,0,20649,0.270
12:51:58.081,2,17458,0.302
12:51:58.086,0,20659,0.513
12:51:58.093,1,13564,0.497
12:51:58.123,2,17472,0.277
12:51:58.123,1,13574,0.593
12:51:58.131,0,20669,0.299
12:51:58.165,2,17484,0.216
12:51:58.168,1,13585,0.326
12:51:58.173,0,20680,0.265
12:51:58.196,2,17495,0.177
12:51:58.211,1,13598,0.470
12:51:58.215,0,20691,0.314
12:51:58.241,2,17507,0.220
12:51:58.246,0,20701,0.584
12:51:58.251,1,13610,0.654
12:51:58.284,2,17521,0.181
12:51:58.291,0,20712,0.594
12:51:58.293,1,13623,0.341
12:51:58.324,1,13634,0.535
12:51:58.326,2,17533,0.696
12:51:58.332,0,20723,0.278
12:51:58.357,2,17545,0.204
12:51:58.370,1,13646,0.357
12:51:58.375,0,20733,0.466
12:51:58.402,2,17557,0.287
12:51:58.407,0,20744,0.662
12:51:58.410,1,13656,0.181
12:51:58.443,2,17570,0.289
12:51:58.451,0,20754,0.706
12:51:58.452,1,13668,0.168
12:51:58.484,1,13680,0.257
12:51:58.486,2,17583,0.330
12:51:58.493,0,20765,0.392
12:51:58.517,2,17594,0.304
12:51:58.528,1,13690,0.220
12:51:58.534,0,20776,0.173
12:51:58.562,2,17606,0.365
12:51:58.566,0,20785,0.163
12:51:58.570,1,13701,0.189
12:51:58.603,2,17618,0.366
12:51:58.611,1,13711,0.343
12:51:58.611,0,20796,0.171
12:51:58.645,2,17630,0.387
12:51:58.652,1,13721,0.415
12:51:58.653,0,20807,0.463
12:51:58.677,2,17643,0.188
12:51:58.684,1,13731,0.249
12:51:58.695,0,20818,0.276
12:51:58.723,2,17655,0.296
12:51:58.727,0,20829,0.250
12:51:58.728,1,13743,0.482
12:51:58.764,2,17668,0.610
12:51:58.771,1,13757,0.458
12:51:58.772,0,20840,0.476
12:51:58.826,2,17779,1.245
12:51:58.835,1,13871,1.162
12:51:58.843,0,20964,1.569
12:51:58.844,2,17788,0.717
12:51:58.886,2,17803,0.385
12:51:58.896,1,13895,45.232
12:51:58.917,2,17815,0.187
12:51:58.923,0,20986,68.636
12:51:58.924,1,13906,30.836
12:51:58.927,0,20998,31.777
12:51:58.963,2,17828,0.283
12:51:58.969,1,13918,45.528
12:51:58.972,0,21009,45.947
12:51:59.004,2,17842,0.320
12:51:59.010,1,13927,41.962
12:51:59.013,0,21020,41.514
12:51:59.046,2,17854,0.296
12:51:59.053,1,13938,42.846
12:51:59.055,0,21029,42.215
12:51:59.078,2,17868,0.552
12:51:59.084,1,13949,31.630
12:51:59.087,0,21040,32.836
12:51:59.123,2,17881,0.548
12:51:59.128,1,13960,44.584
12:51:59.131,0,21051,45.182
12:51:59.164,2,17893,0.402
12:51:59.170,1,13971,42.209
12:51:59.173,0,21061,41.797
12:51:59.205,2,17904,0.633
12:51:59.213,1,13982,42.531
12:51:59.215,0,21071,42.792
12:51:59.237,2,17917,0.296
12:51:59.244,1,13992,31.171
12:51:59.247,0,21082,32.362
12:51:59.283,2,17930,0.528
12:51:59.289,1,14005,45.530
12:51:59.292,0,21093,45.714
12:51:59.324,2,17942,0.306
12:51:59.331,1,14017,42.179
12:51:59.333,0,21104,41.284
12:51:59.366,2,17954,0.621
12:51:59.371,1,14027,40.461
12:51:59.375,0,21114,42.602
12:51:59.398,2,17970,0.432
12:51:59.407,0,21125,32.336
12:51:59.413,1,14037,42.021
12:51:59.443,2,17981,0.720
12:51:59.443,1,14047,30.583
12:51:59.452,0,21136,45.107
12:51:59.484,2,17995,0.557
12:51:59.489,1,14059,45.255
12:51:59.493,0,21146,42.072
12:51:59.526,2,18006,0.507
12:51:59.531,1,14069,42.528
12:51:59.535,0,21156,42.497
12:51:59.557,2,18019,0.172
12:51:59.567,0,21164,31.944
12:51:59.573,1,14079,42.032
12:51:59.601,2,18031,0.227
12:51:59.604,1,14089,31.330
12:51:59.611,0,21175,45.356
12:51:59.643,2,18044,0.155
12:51:59.649,1,14101,45.370
12:51:59.653,0,21185,41.865
12:51:59.686,2,18056,0.173
12:51:59.691,1,14113,42.259
12:51:59.695,0,21196,42.799
12:51:59.717,2,18068,0.164
12:51:59.727,0,21206,31.889
12:51:59.733,1,14127,42.699
12:51:59.762,2,18080,0.146
12:51:59.764,1,14140,31.142
12:51:59.772,0,21218,45.563
12:51:59.804,2,18094,0.162
12:51:59.809,1,14150,44.580
12:51:59.846,2,18106,0.263
12:51:59.847,0,21341,76.188
12:51:59.851,1,14160,42.285
12:51:59.878,2,18119,0.179
12:51:59.893,1,14172,42.541
12:51:59.922,2,18131,0.151
12:51:59.924,1,14181,31.119
12:51:59.933,0,21364,86.328
12:51:59.935,0,21375,83.050
12:51:59.964,2,18146,0.169
12:51:59.967,0,21384,73.685
12:51:59.969,1,14192,44.831
12:52:00.006,2,18159,0.177
12:52:00.012,1,14205,43.353
12:52:00.012,0,21395,77.551
12:52:00.037,2,18170,0.146
12:52:00.052,1,14216,40.698
12:52:00.053,0,21405,86.982
12:52:00.082,2,18182,0.196
12:52:00.093,1,14228,41.963
12:52:00.095,0,21416,83.743
12:52:00.124,2,18195,0.265
12:52:00.125,1,14241,31.946
12:52:00.127,0,21426,74.345
12:52:00.166,2,18209,0.193
12:52:00.171,1,14258,46.556
12:52:00.172,0,21436,77.118
12:52:00.197,2,18220,0.144
12:52:00.213,1,14276,41.998
12:52:00.214,0,21446,86.917
12:52:00.242,2,18233,0.299
12:52:00.254,1,14291,41.168
12:52:00.256,0,21457,84.340
12:52:00.284,2,18246,0.198
12:52:00.285,1,14304,31.266
12:52:00.287,0,21468,74.032
12:52:00.326,2,18258,0.186
12:52:00.331,1,14319,46.330
12:52:00.332,0,21479,76.843
12:52:00.358,2,18270,0.296
12:52:00.372,1,14334,41.195
12:52:00.374,0,21490,86.866
12:52:00.401,2,18282,0.193
12:52:00.414,1,14348,42.087
12:52:00.415,0,21498,83.446
12:52:00.444,2,18295,0.187
12:52:00.446,1,14362,32.294
12:52:00.447,0,21508,74.491
12:52:00.486,2,18308,0.260
12:52:00.491,1,14375,45.889
12:52:00.492,0,21517,77.333
12:52:00.518,2,18322,0.317
12:52:00.531,1,14388,40.400
12:52:00.534,0,21529,86.699
12:52:00.563,2,18335,0.175
12:52:00.574,1,14401,42.617
12:52:00.576,0,21540,84.630
12:52:00.604,2,18346,0.157
12:52:00.605,1,14416,31.439
12:52:00.608,0,21552,75.111
12:52:00.646,2,18358,0.161
12:52:00.651,1,14432,46.223
12:52:00.653,0,21561,77.140
