wall_time,cam_index,latency_ms
16:03:14.307,1,0.2408
16:03:14.344,1,0.1738
16:03:14.361,0,0.2105
16:03:14.367,2,0.1303
16:03:14.370,1,0.0448
16:03:14.385,0,0.0270
16:03:14.393,2,0.0252
16:03:14.401,1,0.0389
16:03:14.416,0,0.0260
16:03:14.436,2,0.0288
16:03:14.441,1,0.0341
16:03:14.457,0,0.0270
16:03:14.467,2,0.0331
16:03:14.482,1,0.0329
16:03:14.497,0,0.0270
16:03:14.508,2,0.0314
16:03:14.524,1,0.0263
16:03:14.538,0,0.0283
16:03:14.548,2,0.0258
16:03:14.555,1,0.0377
16:03:14.571,0,0.0263
16:03:14.591,2,0.0598
16:03:14.602,1,0.0410
16:03:14.615,0,0.0272
16:03:14.621,2,0.0303
16:03:14.641,1,0.0381
16:03:14.657,0,0.0269
16:03:14.666,2,0.0292
16:03:14.683,1,0.0298
16:03:14.698,0,0.0268
16:03:14.708,2,0.0279
16:03:14.716,1,0.0292
16:03:14.739,0,0.0309
16:03:14.750,2,0.0298
16:03:14.761,1,0.0571
16:03:14.771,0,0.0332
16:03:14.782,2,0.0363
16:03:14.801,1,0.0421
16:03:14.815,0,0.0307
16:03:14.826,2,0.0333
16:03:14.843,1,0.0321
16:03:14.857,0,0.0353
16:03:14.868,2,0.0384
16:03:14.875,1,0.0309
16:03:14.898,0,0.0343
16:03:14.911,2,0.0637
16:03:14.921,1,0.0348
16:03:14.939,0,0.0524
16:03:14.941,2,0.0290
16:03:14.961,1,0.0378
16:03:14.971,0,0.0297
16:03:14.986,2,0.0294
16:03:15.004,1,0.0318
16:03:15.015,0,0.0269
16:03:15.028,2,0.0286
16:03:15.036,1,0.0291
16:03:15.057,0,0.0317
16:03:15.070,2,0.0273
16:03:15.081,1,0.0258
16:03:15.098,0,0.0569
16:03:15.102,2,0.0283
16:03:15.122,1,0.0267
16:03:15.139,0,0.0280
16:03:15.147,2,0.0279
16:03:15.163,1,0.0282
16:03:15.171,0,0.0264
16:03:15.188,2,0.0286
16:03:15.195,1,0.0256
16:03:15.215,0,0.0445
16:03:15.230,2,0.0289
16:03:15.240,1,0.0322
16:03:15.257,0,0.0356
