abs_time,cam,rtp_seq
1777819000.474164,0,74
1777819000.476210,1,18542
1777819000.480846,2,7776
1777819001.486469,0,318
1777819002.462950,1,19199
1777819002.483071,2,8413
1777819002.484693,0,640
1777819003.474660,0,986
1777819004.466855,1,19897
1777819004.485183,0,1321
1777819004.487078,2,9109
1777819005.482339,0,1690
1777819006.468798,1,20594
1777819006.483002,0,2049
1777819006.485440,2,9838
1777819007.502440,0,2423
1777819008.472467,1,21309
1777819008.489221,2,10576
1777819008.494569,0,2813
1777819009.485892,0,3191
1777819010.472183,1,22032
1777819010.479584,0,3540
1777819010.480997,2,11326
1777819011.493447,0,3897
1777819012.481069,1,22779
1777819012.487388,2,12036
1777819012.494796,0,4275
1777819013.508570,0,4668
1777819014.486819,1,23559
1777819014.510027,0,5062
1777819014.512300,2,12776
1777819015.509672,0,5452
1777819016.485950,1,24342
1777819016.512350,0,5841
1777819017.508067,0,6218
1777819018.483620,1,25109
1777819018.503302,2,14283
1777819018.510239,0,6592
1777819019.487565,0,6970
1777819020.470361,1,25853
1777819020.485141,0,7296
1777819020.498641,2,15040
1777819021.495567,0,7657
1777819022.473228,1,26557
1777819022.496886,0,8030
1777819022.503308,2,15766
1777819023.509904,0,8415
1777819024.477655,1,27277
1777819024.509547,0,8795
1777819024.513784,2,16504
1777819025.507372,0,9177
1777819026.494234,1,28033
1777819026.503497,0,9555
1777819026.516367,2,17258
1777819027.514212,0,9936
1777819028.494996,1,28792
1777819028.505275,0,10313
1777819028.516427,2,18004
1777819029.497935,0,10689
1777819030.466784,1,29535
1777819030.486952,2,18758
1777819030.487966,0,11047
1777819031.498207,0,11396
1777819032.505821,1,30256
1777819032.511149,0,11764
1777819033.523123,0,12152
1777819034.505559,1,31038
1777819034.519603,0,12553
1777819034.522974,2,20199
1777819035.523511,0,12935
1777819036.509235,1,31805
1777819036.515783,2,20953
1777819036.521195,0,13324
1777819037.526627,0,13698
1777819038.512643,1,32573
1777819038.519318,2,21707
1777819038.525144,0,14070
1777819039.493297,0,14449
1777819040.473641,1,33326
1777819040.489945,0,14775
1777819040.495533,2,22469
1777819041.496112,0,15122
