abs_time,cam_index,rtp_seq
1777969849.734673,0,28866
1777969849.734844,0,28867
1777969849.734865,0,28868
1777969849.734883,0,28869
1777969849.734896,0,28870
1777969849.734910,0,28871
1777969849.734923,0,28872
1777969849.734937,0,28873
1777969849.734950,0,28874
1777969849.734963,0,28875
1777969849.734976,0,28876
1777969849.734988,0,28877
1777969849.735002,0,28878
1777969849.735015,0,28879
1777969849.735027,0,28880
1777969849.735039,0,28881
1777969849.735052,0,28882
1777969849.735064,0,28883
1777969849.735076,0,28884
1777969849.735088,0,28885
1777969849.735100,0,28886
1777969849.735112,0,28887
1777969849.735125,0,28888
1777969849.735137,0,28889
1777969849.735148,0,28890
1777969849.735160,0,28891
1777969849.735172,0,28892
1777969849.735184,0,28893
1777969849.735197,0,28894
1777969849.735209,0,28895
1777969849.735223,0,28896
1777969849.735236,0,28897
1777969849.735248,0,28898
1777969849.735260,0,28899
1777969849.735273,0,28900
1777969849.735285,0,28901
1777969849.735296,0,28902
1777969849.735308,0,28903
1777969849.735320,0,28904
1777969849.735332,0,28905
1777969849.735343,0,28906
1777969849.735354,0,28907
1777969849.735366,0,28908
1777969849.735378,0,28909
1777969849.735389,0,28910
1777969849.735402,0,28911
1777969849.735415,0,28912
1777969849.735426,0,28913
1777969849.735438,0,28914
1777969849.735450,0,28915
1777969849.735463,0,28916
1777969849.735475,0,28917
1777969849.735489,0,28918
1777969849.735501,0,28919
1777969849.735512,0,28920
1777969849.735524,0,28921
1777969849.735536,0,28922
1777969849.735547,0,28923
1777969849.735560,0,28924
1777969849.735571,0,28925
1777969849.735583,0,28926
1777969849.735594,0,28927
1777969849.735606,0,28928
1777969849.735618,0,28929
1777969849.735629,0,28930
1777969849.735640,0,28931
1777969849.735652,0,28932
1777969849.735664,0,28933
1777969849.735675,0,28934
1777969849.735686,0,28935
1777969849.735698,0,28936
1777969849.735711,0,28937
1777969849.735724,0,28938
1777969849.735735,0,28939
1777969849.735747,0,28940
1777969849.735759,0,28941
1777969849.735770,0,28942
1777969849.735801,0,28943
1777969849.735815,0,28944
1777969849.735826,0,28945
1777969849.735838,0,28946
1777969849.735851,0,28947
1777969849.735863,0,28948
1777969849.735875,0,28949
1777969849.735887,0,28950
1777969849.735898,0,28951
1777969849.735910,0,28952
1777969849.735922,0,28953
1777969849.735934,0,28954
1777969849.735945,0,28955
1777969849.735957,0,28956
1777969849.735969,0,28957
1777969849.735983,0,28958
1777969849.765654,0,28959
1777969849.765670,0,28960
1777969849.765683,0,28961
1777969849.765695,0,28962
1777969849.765707,0,28963
1777969849.765718,0,28964
1777969849.765731,0,28965
1777969849.765743,0,28966
1777969849.765755,0,28967
1777969849.765766,0,28968
1777969849.765782,0,28969
1777969849.765795,0,28970
1777969849.765806,0,28971
1777969849.765818,0,28972
1777969849.765829,0,28973
1777969849.765841,0,28974
1777969849.765853,0,28975
1777969849.765864,0,28976
1777969849.765876,0,28977
1777969849.765888,0,28978
1777969849.765899,0,28979
1777969849.765912,0,28980
1777969849.765923,0,28981
1777969849.765935,0,28982
1777969849.765946,0,28983
1777969849.765957,0,28984
1777969849.765969,0,28985
1777969849.765980,0,28986
1777969849.765991,0,28987
1777969849.766003,0,28988
1777969849.766015,0,28989
1777969849.766026,0,28990
1777969849.766037,0,28991
1777969849.766048,0,28992
1777969849.766060,0,28993
1777969849.766071,0,28994
1777969849.766083,0,28995
1777969849.766094,0,28996
1777969849.766106,0,28997
1777969849.766117,0,28998
1777969849.766129,0,28999
1777969849.766140,0,29000
1777969849.766154,0,29001
1777969849.766166,0,29002
1777969849.766178,0,29003
1777969849.766190,0,29004
1777969849.766203,0,29005
1777969849.766215,0,29006
1777969849.766227,0,29007
1777969849.766239,0,29008
1777969849.766252,0,29009
1777969849.766263,0,29010
1777969849.766279,0,29011
1777969849.766292,0,29012
1777969849.766304,0,29013
1777969849.766317,0,29014
1777969849.766331,0,29015
1777969849.766346,0,29016
1777969849.766358,0,29017
1777969849.766370,0,29018
1777969849.766385,0,29019
1777969849.766397,0,29020
1777969849.766410,0,29021
1777969849.766422,0,29022
1777969849.766436,0,29023
1777969849.766449,0,29024
1777969849.766461,0,29025
1777969849.766474,0,29026
1777969849.766487,0,29027
1777969849.766500,0,29028
1777969849.766513,0,29029
1777969849.766526,0,29030
1777969849.766537,0,29031
1777969849.766550,0,29032
1777969849.766561,0,29033
1777969849.766573,0,29034
1777969849.766585,0,29035
1777969849.766597,0,29036
1777969849.766608,0,29037
1777969849.766622,0,29038
1777969849.766634,0,29039
1777969849.766647,0,29040
1777969849.766659,0,29041
1777969849.766673,0,29042
1777969849.766685,0,29043
1777969849.766696,0,29044
1777969849.766708,0,29045
1777969849.766720,0,29046
1777969849.766732,0,29047
1777969849.766744,0,29048
1777969849.766757,0,29049
1777969849.787789,2,31333
1777969849.787985,2,31334
1777969849.788003,2,31335
1777969849.788017,2,31336
1777969849.788029,2,31337
1777969849.788043,2,31338
1777969849.788058,2,31339
1777969849.788070,2,31340
1777969849.788082,2,31341
1777969849.788094,2,31342
1777969849.788106,2,31343
1777969849.788117,2,31344
1777969849.788133,2,31345
1777969849.788145,2,31346
1777969849.788158,2,31347
1777969849.788170,2,31348
1777969849.788183,2,31349
