abs_time,cam_index,rtp_seq
1777040838.508554,2,31809
1777040838.508760,2,31810
1777040838.509113,2,31811
1777040838.509158,2,31812
1777040838.509187,2,31813
1777040838.509213,2,31814
1777040838.509237,2,31815
1777040838.509264,2,31816
1777040838.509290,2,31817
1777040838.509312,2,31818
1777040838.509337,2,31819
1777040838.509363,2,31820
1777040838.509387,2,31821
1777040838.509410,2,31822
1777040838.509433,2,31823
1777040838.509457,2,31824
1777040838.509478,2,31825
1777040838.509499,2,31826
1777040838.509523,2,31827
1777040838.509544,2,31828
1777040838.509565,2,31829
1777040838.509588,2,31830
1777040838.509611,2,31831
1777040838.509633,2,31832
1777040838.509754,2,31833
1777040838.509870,2,31834
1777040838.509945,2,31835
1777040838.510019,2,31836
1777040838.510084,2,31837
1777040838.510114,2,31838
1777040838.510189,2,31839
1777040838.510263,2,31840
1777040838.510294,2,31841
1777040838.510363,2,31842
1777040838.510393,2,31843
1777040838.510494,2,31844
1777040838.510564,2,31845
1777040838.510659,2,31846
1777040838.510725,2,31847
1777040838.510802,2,31848
1777040838.510870,2,31849
1777040838.510898,2,31850
1777040838.510995,2,31851
1777040838.511026,2,31852
1777040838.511056,2,31853
1777040838.511122,2,31854
1777040838.511147,2,31855
1777040838.511167,2,31856
1777040838.511187,2,31857
1777040838.511207,2,31858
1777040838.511228,2,31859
1777040838.511249,2,31860
1777040838.511268,2,31861
1777040838.511288,2,31862
1777040838.511310,2,31863
1777040838.511329,2,31864
1777040838.511352,2,31865
1777040838.511375,2,31866
1777040838.511396,2,31867
1777040838.511415,2,31868
1777040838.511438,2,31869
1777040838.511459,2,31870
1777040838.511479,2,31871
1777040838.511498,2,31872
1777040838.511518,2,31873
1777040838.511539,2,31874
1777040838.511558,2,31875
1777040838.511577,2,31876
1777040838.511596,2,31877
1777040838.511616,2,31878
1777040838.511635,2,31879
1777040838.511654,2,31880
1777040838.511672,2,31881
1777040838.511694,2,31882
1777040838.511714,2,31883
1777040838.511734,2,31884
1777040838.511754,2,31885
1777040838.511775,2,31886
1777040838.511801,2,31887
1777040838.511826,2,31888
1777040838.511849,2,31889
1777040838.511870,2,31890
1777040838.511890,2,31891
1777040838.511909,2,31892
1777040838.511930,2,31893
1777040838.511950,2,31894
1777040838.511969,2,31895
1777040838.511995,2,31896
1777040838.512019,2,31897
1777040838.512043,2,31898
1777040838.512067,2,31899
1777040838.512090,2,31900
1777040838.523689,1,24539
1777040838.523875,1,24540
1777040838.524219,1,24541
1777040838.524271,1,24542
1777040838.524298,1,24543
1777040838.524328,1,24544
1777040838.524348,1,24545
1777040838.524397,1,24546
1777040838.524424,1,24547
1777040838.524450,1,24548
1777040838.524472,1,24549
1777040838.524515,1,24550
1777040838.524541,1,24551
1777040838.524562,1,24552
1777040838.524584,1,24553
1777040838.524608,1,24554
1777040838.524655,1,24555
1777040838.524680,1,24556
1777040838.524706,1,24557
1777040838.524728,1,24558
1777040838.524749,1,24559
1777040838.524803,1,24560
1777040838.524830,1,24561
1777040838.524851,1,24562
1777040838.524871,1,24563
1777040838.524930,1,24564
1777040838.524956,1,24565
1777040838.524978,1,24566
1777040838.525001,1,24567
1777040838.525046,1,24568
1777040838.525069,1,24569
1777040838.525092,1,24570
1777040838.525113,1,24571
1777040838.525133,1,24572
1777040838.525152,1,24573
1777040838.525175,1,24574
1777040838.525194,1,24575
1777040838.525214,1,24576
1777040838.525235,1,24577
1777040838.525295,1,24578
1777040838.525319,1,24579
1777040838.525338,1,24580
1777040838.525357,1,24581
1777040838.525376,1,24582
1777040838.525397,1,24583
1777040838.525418,1,24584
1777040838.525439,1,24585
1777040838.525483,1,24586
1777040838.525503,1,24587
1777040838.525527,1,24588
1777040838.525547,1,24589
1777040838.525566,1,24590
1777040838.525585,1,24591
1777040838.525610,1,24592
1777040838.525630,1,24593
1777040838.525677,1,24594
1777040838.525723,1,24595
1777040838.525744,1,24596
1777040838.525765,1,24597
1777040838.525826,1,24598
1777040838.525850,1,24599
1777040838.525869,1,24600
1777040838.525888,1,24601
1777040838.525908,1,24602
1777040838.525928,1,24603
1777040838.525947,1,24604
1777040838.525965,1,24605
1777040838.525987,1,24606
1777040838.526012,1,24607
1777040838.526033,1,24608
1777040838.526052,1,24609
1777040838.526074,1,24610
1777040838.526096,1,24611
1777040838.526116,1,24612
1777040838.526136,1,24613
1777040838.526158,1,24614
1777040838.526179,1,24615
1777040838.526200,1,24616
1777040838.526251,1,24617
1777040838.526273,1,24618
1777040838.526293,1,24619
1777040838.526315,1,24620
1777040838.526357,1,24621
1777040838.526405,1,24622
1777040838.526428,1,24623
1777040838.526470,1,24624
1777040838.526495,1,24625
1777040838.526519,1,24626
1777040838.526546,1,24627
1777040838.526568,1,24628
1777040838.526588,1,24629
1777040838.526633,1,24630
1777040838.532012,0,4484
1777040838.532150,0,4485
1777040838.532381,0,4486
1777040838.532418,0,4487
1777040838.532444,0,4488
1777040838.532498,0,4489
1777040838.532540,0,4490
1777040838.532562,0,4491
1777040838.532624,2,31901
1777040838.532659,0,4492
1777040838.532716,2,31902
1777040838.532758,0,4493
1777040838.532812,2,31903
1777040838.532852,0,4494
1777040838.532891,2,31904
1777040838.532925,0,4495
1777040838.532963,2,31905
1777040838.532997,0,4496
1777040838.533037,2,31906
1777040838.533075,0,4497
1777040838.533114,2,31907
1777040838.533148,0,4498
1777040838.533188,2,31908
1777040838.533226,0,4499
1777040838.533266,2,31909
1777040838.533312,0,4500
1777040838.533343,2,31910
1777040838.533382,0,4501
1777040838.533420,2,31911
1777040838.533458,0,4502
1777040838.533499,2,31912
1777040838.533535,0,4503
1777040838.533600,0,4504
1777040838.533628,0,4505
1777040838.533655,0,4506
1777040838.533681,0,4507
1777040838.533706,0,4508
1777040838.533731,0,4509
1777040838.533750,0,4510
1777040838.533770,0,4511
1777040838.533803,0,4512
1777040838.533827,0,4513
1777040838.533847,0,4514
1777040838.533872,0,4515
1777040838.533894,0,4516
1777040838.533918,0,4517
1777040838.533944,0,4518
1777040838.533969,0,4519
1777040838.533991,0,4520
1777040838.534013,0,4521
1777040838.534038,0,4522
1777040838.534060,0,4523
1777040838.534079,0,4524
1777040838.534096,0,4525
1777040838.534114,0,4526
1777040838.534132,0,4527
1777040838.534149,0,4528
1777040838.534166,0,4529
