cam_index,rtp_seq,transit_ms
0,28866,142.2811
0,28867,142.3740
0,28868,142.4820
0,28869,142.5779
0,28870,142.5991
0,28871,142.6001
0,28872,142.6010
0,28873,142.6001
0,28874,142.6010
0,28875,142.6032
0,28876,142.6029
0,28877,142.6051
0,28878,142.6070
0,28879,142.6070
0,28880,142.6079
0,28881,142.6110
0,28882,142.6108
0,28883,142.6139
0,28884,142.6151
0,28885,142.6179
0,28886,142.6201
0,28887,142.6210
0,28888,142.6210
0,28889,142.6260
0,28890,151.4142
0,28891,151.4969
0,28892,151.5539
0,28893,151.5920
0,28894,151.6318
0,28895,151.6659
0,28896,151.7019
0,28897,151.7370
0,28898,151.7739
0,28899,151.8099
0,28900,151.8431
0,28901,151.8810
0,28902,151.9151
0,28903,151.9639
0,28904,151.9990
0,28905,152.0360
0,28906,152.2360
0,28907,152.3352
0,28908,152.3409
0,28909,152.3449
0,28910,152.3480
0,28911,152.3478
0,28912,152.3490
0,28913,158.3900
0,28914,158.4499
0,28915,158.4890
0,28916,158.5271
0,28917,158.5619
0,28918,158.6041
0,28919,158.6380
0,28920,158.6709
0,28921,158.7081
0,28922,158.7479
0,28923,158.7880
0,28924,158.8221
0,28925,159.0800
0,28926,159.0879
0,28927,159.0929
0,28928,159.0950
0,28929,159.0948
0,28930,159.0979
0,28931,159.0989
0,28932,159.1020
0,28933,159.1041
0,28934,159.1070
0,28935,159.1079
0,28936,161.1340
0,28937,161.2139
0,28938,161.2611
0,28939,161.3040
0,28940,161.3379
0,28941,161.3791
0,28942,161.4151
0,28943,161.4320
0,28944,161.4730
0,28945,161.5169
0,28946,161.5582
0,28947,161.5930
0,28948,161.6251
0,28949,161.6571
0,28950,161.7010
0,28951,161.7339
0,28952,161.7701
0,28953,161.8030
0,28954,161.8381
0,28955,161.8700
0,28956,161.9060
0,28957,161.9380
0,28958,161.9711
0,28959,132.4289
0,28960,140.8889
0,28961,141.0351
0,28962,141.1848
0,28963,141.2771
0,28964,141.3641
0,28965,141.4490
0,28966,141.5401
0,28967,141.6340
0,28968,141.7160
0,28969,141.7999
0,28970,141.8800
0,28971,141.9170
0,28972,141.9499
0,28973,161.8750
0,28974,161.9720
0,28975,162.0240
0,28976,162.1060
0,28977,162.1900
0,28978,162.2360
0,28979,162.3101
0,28980,162.3979
0,28981,162.4439
0,28982,164.5181
0,28983,164.5591
0,28984,164.5930
0,28985,164.6249
0,28986,164.6600
0,28987,164.6950
0,28988,164.7282
0,28989,164.7608
0,28990,164.7949
0,28991,164.8281
0,28992,164.8660
0,28993,164.8998
0,28994,164.9330
0,28995,164.9649
0,28996,170.0921
0,28997,170.1350
0,28998,170.2669
0,28999,170.3060
0,29000,170.4140
0,29001,170.5039
0,29002,170.5980
0,29003,170.6872
0,29004,170.7768
0,29005,170.8651
0,29006,170.9569
0,29007,171.0470
0,29008,171.1411
0,29009,171.2301
0,29010,171.2689
0,29011,171.2980
0,29012,171.3278
0,29013,171.3610
0,29014,171.3932
0,29015,171.4230
0,29016,171.4530
0,29017,171.4861
0,29018,171.5169
0,29019,171.5460
0,29020,171.5801
0,29021,171.6180
0,29022,171.6509
0,29023,171.6819
0,29024,171.7119
0,29025,171.7441
0,29026,171.7751
0,29027,189.5940
0,29028,190.1481
0,29029,190.3028
0,29030,190.3501
0,29031,217.2751
0,29032,217.3820
0,29033,217.4780
0,29034,217.5682
0,29035,217.6528
0,29036,217.7489
0,29037,218.0300
0,29038,218.1830
0,29039,218.2121
0,29040,218.2159
0,29041,218.2169
0,29042,218.2159
0,29043,218.2169
0,29044,218.2190
0,29045,218.8561
0,29046,218.9488
0,29047,218.9970
0,29048,219.0752
0,29049,219.1610
0,29050,166.1711
0,29051,166.2290
0,29052,166.2691
0,29053,166.3079
0,29054,166.3480
0,29055,166.3930
0,29056,166.4331
0,29057,166.4710
0,29058,166.5101
0,29059,166.5471
0,29060,166.5850
0,29061,158.2601
0,29062,158.2968
0,29063,158.3340
0,29064,158.3700
0,29065,158.4072
0,29066,158.4439
0,29067,163.5740
0,29068,163.7180
0,29069,163.8579
0,29070,164.0902
0,29071,164.2621
0,29072,164.4099
0,29073,124.1870
0,29074,124.2771
0,29075,124.3780
0,29076,124.4669
0,29077,124.7280
0,29078,124.7730
0,29079,124.8701
0,29080,124.9130
0,29081,124.9802
0,29082,98.1901
0,29083,98.2809
0,29084,98.3739
0,29085,98.4731
0,29086,98.5761
0,29087,98.6712
0,29088,98.7599
0,29089,98.8510
0,29090,98.9420
0,29091,54.5580
0,29092,54.7321
0,29093,57.1871
0,29094,57.2281
0,29095,57.2691
0,29096,57.3070
0,29097,57.3859
0,29098,57.4260
0,29099,57.4641
0,29100,57.5080
0,29101,76.2541
0,29102,76.4298
0,29103,76.5300
0,29104,76.6289
0,29105,76.7250
0,29106,76.8239
0,29107,76.9231
0,29108,77.0159
0,29109,77.1089
0,29110,43.5970
0,29111,43.7522
0,29112,43.8979
0,29113,44.0409
0,29114,44.1849
0,29115,44.3261
0,29116,44.4160
0,29117,44.5049
0,29118,44.5471
0,29119,44.5912
0,29120,12.8341
0,29121,12.8992
0,29122,12.9900
0,29123,13.0880
0,29124,13.1791
0,29125,13.2689
0,29126,13.3591
0,29127,13.4480
0,29128,13.5381
0,29129,-1.5881
0,29130,-1.5280
0,29131,-1.4729
0,29132,-1.4291
0,29133,-1.3890
0,29134,-1.3480
0,29135,-1.3099
0,29136,-1.2722
0,29137,-1.2341
0,29138,-1.1971
0,29139,-1.1621
0,29140,-0.8140
0,29141,-0.7219
0,29142,-0.6750
0,29143,-0.6342
0,29144,-0.5932
0,29145,-0.5541
0,29146,-0.5140
0,29147,-0.4740
0,29148,-0.4349
0,29149,-0.3839
0,29150,-1.2310
0,29151,-1.0169
0,29152,-0.8759
0,29153,11.0719
0,29154,11.1339
0,29155,11.1740
0,29156,11.2128
0,29157,11.2510
0,29158,11.2882
0,29159,2.5928
0,29160,2.6569
0,29161,2.7039
0,29162,2.7711
0,29163,6.7329
0,29164,6.7959
0,29165,6.8400
0,29166,6.8810
0,29167,6.9211
0,29168,6.9590
0,29169,5.5149
0,29170,5.5740
0,29171,5.6179
0,29172,5.6670
0,29173,5.7070
0,29174,5.8892
0,29175,5.9469
0,29176,5.9609
0,29177,5.9690
0,29178,5.9750
0,29179,5.9831
0,29180,6.5641
0,29181,6.6350
0,29182,6.6791
0,29183,6.7210
0,29184,6.7601
0,29185,6.7992
0,29186,6.8381
0,29187,6.8769
0,29188,6.9160
0,29189,6.9561
0,29190,-3.7360
0,29191,-3.6731
0,29192,-3.6290
0,29193,-3.5882
0,29194,-3.5491
0,29195,-3.5100
0,29196,-3.4699
0,29197,-3.4308
0,29198,-3.3932
0,29199,-3.3569
0,29200,1.0991
0,29201,1.1599
0,29202,1.2040
0,29203,1.2441
0,29204,1.2820
0,29205,1.3220
0,29206,1.5509
0,29207,1.5731
0,29208,1.5800
0,29209,1.5929
0,29210,1.6010
0,29211,-1.3568
0,29212,-1.2879
0,29213,-1.2410
0,29214,-1.1969
0,29215,-1.0719
0,29216,-1.0550
0,29217,-1.0459
0,29218,-1.0371
0,29219,-1.0300
0,29220,-1.0221
0,29221,-3.3331
0,29222,-3.2718
0,29223,-3.0842
0,29224,-3.0711
0,29225,-3.0630
0,29226,-3.0539
0,29227,-3.0470
0,29228,-3.0389
0,29229,-3.0351
0,29230,-3.3669
0,29231,-3.3050
0,29232,-3.2599
0,29233,-3.2189
0,29234,-3.1481
0,29235,-3.1149
0,29236,-3.1040
0,29237,-3.0959
0,29238,-3.0880
0,29239,-1.7869
0,29240,-1.7400
0,29241,-1.6849
0,29242,-1.6470
0,29243,-1.6091
0,29244,-1.5700
0,29245,-1.5309
0,29246,-1.4882
0,29247,-1.4482
0,29248,-1.4091
0,29249,27.4289
0,29250,27.7531
0,29251,27.9779
0,29252,28.1510
0,29253,28.5709
0,29254,28.7220
0,29255,28.9881
0,29256,29.1071
0,29257,29.1629
0,29258,-2.2762
0,29259,-2.2099
0,29260,-2.1079
0,29261,-2.0430
0,29262,-1.9770
0,29263,-1.8649
0,29264,-1.8070
0,29265,-1.7469
0,29266,-1.6890
0,29267,-1.6260
0,29268,2.8241
0,29269,2.8970
0,29270,2.9502
0,29271,3.0110
0,29272,3.2139
0,29273,3.2389
0,29274,3.2480
0,29275,3.2539
0,29276,3.2609
0,29277,3.2670
0,29278,-3.0000
0,29279,-2.9130
0,29280,-2.8648
0,29281,-2.8250
0,29282,-2.7850
0,29283,-2.7459
0,29284,-2.7070
0,29285,-2.6679
0,29286,-2.6290
0,29287,-2.5880
0,29289,-0.0710
0,29290,-0.1211
0,29291,-0.0730
0,29292,-0.0300
0,29293,0.1609
0,29294,0.4542
0,29295,0.5779
0,29296,0.6900
0,29297,0.7920
0,29298,0.8910
0,29299,0.9851
0,29300,1.0369
0,29301,1.1768
0,29302,1.2779
0,29303,1.3821
0,29304,1.4241
0,29305,1.4629
0,29306,1.5039
0,29307,1.5430
0,29308,1.5821
0,29309,28.6200
0,29310,28.7120
0,29311,28.7580
0,29312,28.8000
0,29313,28.8420
0,29314,28.8820
0,29315,28.9321
0,29316,28.9729
0,29317,29.0129
0,29318,29.0649
0,29319,29.1059
0,29320,29.1729
0,29321,29.2161
0,29322,29.2490
0,29323,29.2881
0,29324,29.3262
0,29325,29.3629
0,29326,29.4001
0,29327,29.4390
0,29328,35.2700
0,29329,35.3520
0,29330,35.3630
0,29331,35.3699
0,29332,35.3780
0,29333,35.3861
0,29334,35.3909
0,29335,35.3980
0,29336,35.4049
0,29337,35.4111
0,29338,35.4171
0,29339,35.4221
0,29340,35.4278
0,29341,35.4340
0,29342,35.4400
0,29343,35.4462
0,29344,35.4519
0,29345,35.4559
0,29346,35.4621
0,29347,35.4679
0,29348,35.4741
0,29349,35.4810
0,29350,35.4941
0,29351,36.8800
0,29352,36.9420
0,29353,36.9871
0,29354,37.0300
0,29355,37.0641
0,29356,37.1020
0,29357,37.1399
0,29358,37.1780
0,29359,37.2150
0,29360,37.2570
0,29361,37.2930
0,29362,37.3321
0,29363,37.3702
0,29364,37.4079
0,29365,37.4451
0,29366,37.4830
0,29367,37.5211
0,29368,37.5710
0,29369,37.6091
0,29370,37.6470
0,29371,37.6921
0,29372,37.7300
0,29373,38.3089
0,29374,47.1032
0,29375,53.4620
0,29376,53.5400
0,29377,53.5831
0,29378,53.6208
0,29379,53.6690
0,29380,53.7081
0,29381,53.7460
0,29382,53.7829
0,29383,53.8211
0,29384,53.8621
0,29385,53.9000
0,29386,53.9370
0,29387,53.9751
0,29388,54.0118
0,29389,54.0490
0,29390,54.0860
0,29391,34.1451
0,29392,34.1721
0,29393,34.2021
0,29394,34.2319
0,29395,34.2641
0,29396,34.2982
0,29397,34.3308
0,29398,35.1920
0,29399,36.0332
0,29400,36.0959
0,29401,36.1881
0,29402,36.2830
0,29403,11.1780
0,29404,11.2309
0,29405,11.3270
0,29406,11.4179
0,29407,11.5051
0,29408,11.5891
0,29409,11.6730
0,29410,11.7810
0,29411,11.9858
0,29412,12.0440
0,29413,12.0821
0,29414,12.1150
0,29415,-2.9149
0,29416,-2.8419
0,29417,-2.8031
0,29418,-2.7671
0,29419,-2.7339
0,29420,-2.7010
0,29421,-2.6681
0,29422,-2.6360
0,29423,-2.6031
0,29424,-2.5711
0,29425,-2.5370
0,29426,-2.1989
0,29427,-2.1522
0,29428,-2.1150
0,29429,-2.0802
0,29430,-2.0409
0,29431,-1.9989
0,29432,-1.9581
0,29433,-1.9231
0,29434,-1.8890
0,29435,-1.8570
0,29436,-1.8249
0,29437,2.6340
0,29438,2.6698
0,29439,2.7049
0,29440,2.7292
0,29441,2.7521
0,29442,2.7871
0,29443,2.8119
0,29444,2.8360
0,29445,3.0451
0,29446,3.0599
0,29447,3.0541
0,29448,25.3322
0,29449,25.3870
0,29450,25.4250
0,29451,25.4610
0,29452,25.4948
0,29453,25.5370
0,29454,25.5711
0,29455,25.6038
0,29456,30.3719
0,29457,-1.3609
0,29458,-1.3330
0,29459,-1.3120
0,29460,-1.2801
0,29461,-1.2591
0,29462,-1.2369
0,29463,-1.2138
0,29464,-1.1921
0,29465,-1.1699
0,29466,-1.1480
0,29467,1.0231
0,29468,1.0760
0,29469,1.1189
0,29470,1.1501
0,29471,1.1799
0,29472,1.3659
0,29473,1.3990
0,29474,1.3971
0,29475,1.3940
0,29476,13.0541
0,29477,13.1178
0,29478,13.1452
0,29479,13.1569
0,29480,13.1800
0,29481,13.2020
0,29482,13.2251
0,29483,13.1290
0,29484,13.1400
0,29485,13.1750
0,29486,13.2298
0,29487,13.2699
0,29488,1.7881
